County,PARTY,Day1,%Day1,Day2,%Day2,Day3,%Day3,Day4,% Day4,Day5,%Day5,Day6,%Day6,Day7,%Day7,Day8,%Day8,Total,%Total,Eligible
"",REP,958,8.26%,749,6.46%,339,2.92%,317,2.73%,627,5.41%,585,5.04%,562,4.85%,505,4.35%,"4,642",40.03%,"11,597"
"",UNA,232,3.93%,217,3.67%,120,2.03%,89,1.51%,191,3.23%,174,2.95%,184,3.12%,203,3.44%,"1,410",23.88%,"5,905"
"",TOTAL,"1,907",6.69%,"1,553",5.45%,689,2.42%,625,2.19%,"1,225",4.30%,"1,145",4.02%,"1,119",3.93%,"1,087",3.81%,"9,350",32.80%,"28,508"
Washington,DEM,935,3.06%,837,2.74%,574,1.88%,496,1.62%,778,2.55%,852,2.79%,935,3.06%,930,3.05%,"6,337",20.75%,"30,537"
"",GRN,1,0.79%,1,0.79%,4,3.15%,2,1.57%,2,1.57%,0,0.00%,2,1.57%,2,1.57%,14,11.02%,127
"",LIB,14,2.11%,11,1.66%,8,1.21%,9,1.36%,13,1.96%,12,1.81%,20,3.02%,18,2.72%,105,15.86%,662
"",NLM,0,0.00%,2,1.34%,0,0.00%,2,1.34%,4,2.68%,3,2.01%,4,2.68%,3,2.01%,18,12.08%,149
"",OTH,37,3.76%,24,2.44%,21,2.13%,9,0.91%,20,2.03%,20,2.03%,23,2.34%,27,2.74%,181,18.38%,985
"",REP,"2,358",5.29%,"2,162",4.85%,"1,235",2.77%,"1,105",2.48%,"2,086",4.68%,"1,921",4.31%,"1,896",4.26%,"1,722",3.87%,"14,485",32.51%,"44,553"
"",UNA,515,2.18%,458,1.94%,341,1.44%,333,1.41%,582,2.46%,588,2.49%,599,2.53%,732,3.10%,"4,148",17.55%,"23,635"
"",TOTAL,"3,860",3.84%,"3,495",3.47%,"2,183",2.17%,"1,956",1.94%,"3,485",3.46%,"3,396",3.37%,"3,479",3.46%,"3,434",3.41%,"25,288",25.13%,"100,648"
Wicomico,DEM,"1,032",3.99%,875,3.38%,475,1.84%,396,1.53%,754,2.91%,735,2.84%,837,3.23%,900,3.48%,"6,004",23.20%,"25,881"
"",GRN,1,1.47%,1,1.47%,1,1.47%,0,0.00%,3,4.41%,3,4.41%,4,5.88%,3,4.41%,16,23.53%,68
"",LIB,11,2.89%,8,2.10%,3,0.79%,4,1.05%,3,0.79%,12,3.15%,13,3.41%,14,3.67%,68,17.85%,381
"",NLM,1,0.82%,1,0.82%,1,0.82%,0,0.00%,1,0.82%,4,3.28%,1,0.82%,5,4.10%,14,11.48%,122
"",OTH,21,2.63%,15,1.88%,7,0.88%,5,0.63%,13,1.63%,17,2.13%,25,3.13%,20,2.51%,123,15.41%,798
"",REP,"1,341",5.54%,"1,229",5.08%,628,2.60%,502,2.08%,"1,061",4.39%,"1,026",4.24%,"1,056",4.37%,904,3.74%,"7,747",32.03%,"24,188"
"",UNA,313,2.11%,325,2.19%,199,1.34%,186,1.25%,300,2.02%,335,2.26%,395,2.66%,406,2.74%,"2,459",16.57%,"14,836"
"",TOTAL,"2,720",4.10%,"2,454",3.70%,"1,314",1.98%,"1,093",1.65%,"2,135",3.22%,"2,132",3.22%,"2,331",3.52%,"2,252",3.40%,"16,431",24.79%,"66,274"
Worcester,DEM,413,3.04%,423,3.11%,143,1.05%,188,1.38%,368,2.71%,322,2.37%,342,2.52%,304,2.24%,"2,503",18.42%,"13,586"
"",GRN,1,2.38%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,2.38%,1,2.38%,0,0.00%,3,7.14%,42
"",LIB,6,2.44%,4,1.63%,4,1.63%,1,0.41%,9,3.66%,8,3.25%,8,3.25%,6,2.44%,46,18.70%,246
"",NLM,0,0.00%,0,0.00%,0,0.00%,1,1.79%,2,3.57%,2,3.57%,1,1.79%,0,0.00%,6,10.71%,56
"",OTH,21,4.21%,11,2.20%,7,1.40%,9,1.80%,12,2.40%,7,1.40%,8,1.60%,15,3.01%,90,18.04%,499
"",REP,"1,067",5.40%,939,4.75%,421,2.13%,374,1.89%,850,4.30%,718,3.64%,757,3.83%,668,3.38%,"5,794",29.34%,"19,748"
County,"PARTYCODE",Day1,%Day1,Day2,%Day2,Day3,%Day3,Day4,% Day4,Day5,%Day5,Day6,%Day6,Day7,%Day7,Day8,%Day8,Total,%Total,"EligibleActives"
Worcester,UNA,259,2.86%,202,2.23%,102,1.12%,98,1.08%,229,2.52%,216,2.38%,222,2.45%,212,2.34%,"1,540",16.98%,"9,070"
"",TOTAL,"1,767",4.09%,"1,579",3.65%,677,1.57%,671,1.55%,"1,470",3.40%,"1,274",2.95%,"1,339",3.10%,"1,205",2.79%,"9,982",23.08%,"43,247"
