ORGANIZATION,PROGRAM,DESCRIPTION,YTD AMOUNT,QTD AMOUNT                                                                                                                                                                                                    
2024 HON. MARK ALFORD,INTERN ALLOWANCES,PERSONNEL COMPENSATION,15560,8160
2024 HON. MARK ALFORD,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,15560,8160
2024 HON. MARK ALFORD,INTERN ALLOWANCES,OFFICE TOTALS:,15560,8160
2024 HON. RICK W. ALLEN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,25066.31,5807.58
2024 HON. RICK W. ALLEN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,670926.08,340258.31
2024 HON. RICK W. ALLEN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,29951.93,21138.09
2024 HON. RICK W. ALLEN,OFFICIAL EXPENSES OF MEMBERS,TRANSPORTATION OF THINGS,15.8,11.85
2024 HON. RICK W. ALLEN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,24745.64,10658.68
2024 HON. RICK W. ALLEN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,14219.8,1065.17
2024 HON. RICK W. ALLEN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,2225.25,1683.15
2024 HON. RICK W. ALLEN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,9289.18,5231.28
2024 HON. RICK W. ALLEN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2435.58,1217.79
2024 HON. RICK W. ALLEN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,778875.57,387071.9
2024 HON. RICK W. ALLEN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,778875.57,387071.9
2024 HON. RICK W. ALLEN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,19750,10950
2024 HON. RICK W. ALLEN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,19750,10950
2024 HON. RICK W. ALLEN,INTERN ALLOWANCES,OFFICE TOTALS:,19750,10950
2024 HON. COLIN Z. ALLRED,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,46.78,41.83
2024 HON. COLIN Z. ALLRED,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,614175.51,303783.05
2024 HON. COLIN Z. ALLRED,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3965.84,2295.8
2024 HON. COLIN Z. ALLRED,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,8663.32,5335.47
2024 HON. COLIN Z. ALLRED,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,6771.22,6250
2024 HON. COLIN Z. ALLRED,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,613.5,613.5
2024 HON. COLIN Z. ALLRED,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3474.05,3074.55
2024 HON. COLIN Z. ALLRED,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,822,411
2024 HON. COLIN Z. ALLRED,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,638532.22,321805.2
2024 HON. COLIN Z. ALLRED,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,638532.22,321805.2
2024 HON. COLIN Z. ALLRED,INTERN ALLOWANCES,PERSONNEL COMPENSATION,25460,11233.33
2024 HON. COLIN Z. ALLRED,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,25460,11233.33
2024 HON. COLIN Z. ALLRED,INTERN ALLOWANCES,OFFICE TOTALS:,25460,11233.33
2024 HON. GABE AMO,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,-17.9,-38.2
2024 HON. GABE AMO,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,435719.7,257913.17
2024 HON. GABE AMO,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,26292.89,17079.2
2024 HON. GABE AMO,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,4915.63,3109.5
2024 HON. GABE AMO,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,8801,6565.3
2024 HON. GABE AMO,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,6157.95,1059.05
2024 HON. GABE AMO,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,14210.04,10273.51
2024 HON. GABE AMO,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4141,2601
2024 HON. GABE AMO,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,500220.31,298562.53
2024 HON. GABE AMO,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,500220.31,298562.53
2024 HON. GABE AMO,INTERN ALLOWANCES,PERSONNEL COMPENSATION,21665,11640
2024 HON. GABE AMO,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,21665,11640
2024 HON. GABE AMO,INTERN ALLOWANCES,OFFICE TOTALS:,21665,11640
2024 HON. MARK E. AMODEI,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,343.49,366.45
2024 HON. MARK E. AMODEI,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,570564.95,293155.58
2024 HON. MARK E. AMODEI,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,46367.53,34625.63
2024 HON. MARK E. AMODEI,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,10229.94,6826.69
2024 HON. MARK E. AMODEI,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1704.86,1435.86
2024 HON. MARK E. AMODEI,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,165.94,123.56
2024 HON. MARK E. AMODEI,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6693.06,4171.08
2024 HON. MARK E. AMODEI,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2241.45,2025.45
2024 HON. MARK E. AMODEI,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,638311.22,342730.3
2024 HON. MARK E. AMODEI,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,638311.22,342730.3
2024 HON. MARK E. AMODEI,INTERN ALLOWANCES,PERSONNEL COMPENSATION,7250,3550
2024 HON. MARK E. AMODEI,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,7250,3550
2024 HON. MARK E. AMODEI,INTERN ALLOWANCES,OFFICE TOTALS:,7250,3550
2024 HON. KELLY ARMSTRONG,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,17767.36,17735.27
2024 HON. KELLY ARMSTRONG,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,730127.31,365356.84
2024 HON. KELLY ARMSTRONG,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,31251.16,26687.09
2024 HON. KELLY ARMSTRONG,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,54614.57,30107.8
2024 HON. KELLY ARMSTRONG,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,79028.45,34076.05
2024 HON. KELLY ARMSTRONG,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,28817.95,15870.18
2024 HON. KELLY ARMSTRONG,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,12658.95,2108.57
2024 HON. KELLY ARMSTRONG,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2953.5,1476.75
2024 HON. KELLY ARMSTRONG,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,957219.25,493418.55
2024 HON. KELLY ARMSTRONG,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,957219.25,493418.55
2024 HON. KELLY ARMSTRONG,INTERN ALLOWANCES,PERSONNEL COMPENSATION,38820.79,12619.43
2024 HON. KELLY ARMSTRONG,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,38820.79,12619.43
2024 HON. KELLY ARMSTRONG,INTERN ALLOWANCES,OFFICE TOTALS:,38820.79,12619.43
2024 HON. JODEY C. ARRINGTON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1006.26,710.19
2024 HON. JODEY C. ARRINGTON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,611043.82,319972.2
2024 HON. JODEY C. ARRINGTON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,53480.97,40804.67
2024 HON. JODEY C. ARRINGTON,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,12294.34,8185.73
2024 HON. JODEY C. ARRINGTON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,856.19,716.7
2024 HON. JODEY C. ARRINGTON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,3362.12,2627.12
2024 HON. JODEY C. ARRINGTON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,20907.98,18020.93
2024 HON. JODEY C. ARRINGTON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5394.48,4341.24
2024 HON. JODEY C. ARRINGTON,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,708346.16,395378.78
2024 HON. JODEY C. ARRINGTON,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,708346.16,395378.78
2024 HON. JODEY C. ARRINGTON,INTERN ALLOWANCES,PERSONNEL COMPENSATION,9617.5,4758.33
2024 HON. JODEY C. ARRINGTON,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,9617.5,4758.33
2024 HON. JODEY C. ARRINGTON,INTERN ALLOWANCES,OFFICE TOTALS:,9617.5,4758.33
2024 HON. JAKE AUCHINCLOSS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,16490.99,16513.54
2024 HON. JAKE AUCHINCLOSS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,550586.07,279055.54
2024 HON. JAKE AUCHINCLOSS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,26983.47,16334.95
2024 HON. JAKE AUCHINCLOSS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,56161.44,39473.93
2024 HON. JAKE AUCHINCLOSS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,27095.41,26229.41
2024 HON. JAKE AUCHINCLOSS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,20692.71,11830.75
2024 HON. JAKE AUCHINCLOSS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,15419.99,8825.18
2024 HON. JAKE AUCHINCLOSS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,840,420
2024 HON. JAKE AUCHINCLOSS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,714270.08,398683.3
2024 HON. JAKE AUCHINCLOSS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,714270.08,398683.3
2024 HON. JAKE AUCHINCLOSS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,26850.17,15772.4
2024 HON. JAKE AUCHINCLOSS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,26850.17,15772.4
2024 HON. JAKE AUCHINCLOSS,INTERN ALLOWANCES,OFFICE TOTALS:,26850.17,15772.4
2024 HON. BRIAN BABIN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,46207.91,46258.78
2024 HON. BRIAN BABIN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,606120.55,307436.68
2024 HON. BRIAN BABIN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,61823.07,43605.03
2024 HON. BRIAN BABIN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,23721.03,18626.74
2024 HON. BRIAN BABIN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,25980.82,25832.32
2024 HON. BRIAN BABIN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,799,499
2024 HON. BRIAN BABIN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,16112.28,10313.83
2024 HON. BRIAN BABIN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,720,360
2024 HON. BRIAN BABIN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,781484.66,452932.38
2024 HON. BRIAN BABIN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,781484.66,452932.38
2024 HON. BRIAN BABIN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,6040,3540
2024 HON. BRIAN BABIN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,6040,3540
2024 HON. BRIAN BABIN,INTERN ALLOWANCES,OFFICE TOTALS:,6040,3540
2024 HON. DON BACON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,162.17,159.65
2024 HON. DON BACON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,707057.38,360759.19
2024 HON. DON BACON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,38221.31,31452.81
2024 HON. DON BACON,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,12049.57,10290.97
2024 HON. DON BACON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,32158.84,1286.31
2024 HON. DON BACON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,23951.92,12356.14
2024 HON. DON BACON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6907.43,3072.74
2024 HON. DON BACON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4578.49,4194.94
2024 HON. DON BACON,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,825087.11,423572.75
2024 HON. DON BACON,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,825087.11,423572.75
2024 HON. DON BACON,INTERN ALLOWANCES,PERSONNEL COMPENSATION,14551.66,8501.66
2024 HON. DON BACON,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,14551.66,8501.66
2024 HON. DON BACON,INTERN ALLOWANCES,OFFICE TOTALS:,14551.66,8501.66
2024 HON. JAMES R. BAIRD,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,115736.12,48157.31
2024 HON. JAMES R. BAIRD,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,408588.85,179049.98
2024 HON. JAMES R. BAIRD,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,48797.72,31865.99
2024 HON. JAMES R. BAIRD,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,59298.65,7988.17
2024 HON. JAMES R. BAIRD,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,132475.89,34713.27
2024 HON. JAMES R. BAIRD,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,2328.15,1558.15
2024 HON. JAMES R. BAIRD,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,5222.57,3270.88
2024 HON. JAMES R. BAIRD,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3298.02,1649.01
2024 HON. JAMES R. BAIRD,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,775745.97,308252.76
2024 HON. JAMES R. BAIRD,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,775745.97,308252.76
2024 HON. JAMES R. BAIRD,INTERN ALLOWANCES,PERSONNEL COMPENSATION,8041.67,5458.34
2024 HON. JAMES R. BAIRD,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,8041.67,5458.34
2024 HON. JAMES R. BAIRD,INTERN ALLOWANCES,OFFICE TOTALS:,8041.67,5458.34
2024 HON. TROY BALDERSON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2570.31,1764.24
2024 HON. TROY BALDERSON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,675461.79,341314.68
2024 HON. TROY BALDERSON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,24453.8,16723.22
2024 HON. TROY BALDERSON,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,12297.09,7668.57
2024 HON. TROY BALDERSON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,5900.59,5037.8
2024 HON. TROY BALDERSON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,13843.67,7083.39
2024 HON. TROY BALDERSON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,5688.52,3134.49
2024 HON. TROY BALDERSON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5780.15,3724.18
2024 HON. TROY BALDERSON,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,745995.92,386450.57
2024 HON. TROY BALDERSON,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,745995.92,386450.57
2024 HON. TROY BALDERSON,INTERN ALLOWANCES,PERSONNEL COMPENSATION,13016.66,9266.66
2024 HON. TROY BALDERSON,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,13016.66,9266.66
2024 HON. TROY BALDERSON,INTERN ALLOWANCES,OFFICE TOTALS:,13016.66,9266.66
2024 HON. BECCA BALINT,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,50.99,17.56
2024 HON. BECCA BALINT,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,703115.58,358982.27
2024 HON. BECCA BALINT,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,48844.91,38772.06
2024 HON. BECCA BALINT,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,21876.19,13406.78
2024 HON. BECCA BALINT,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,34107.8,25545.4
2024 HON. BECCA BALINT,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,31631.05,19266.05
2024 HON. BECCA BALINT,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,23576.45,10680.3
2024 HON. BECCA BALINT,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,11110.65,1005
2024 HON. BECCA BALINT,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,874313.62,467675.42
2024 HON. BECCA BALINT,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,874313.62,467675.42
2024 HON. BECCA BALINT,INTERN ALLOWANCES,PERSONNEL COMPENSATION,21699.26,11255.81
2024 HON. BECCA BALINT,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,21699.26,11255.81
2024 HON. BECCA BALINT,INTERN ALLOWANCES,OFFICE TOTALS:,21699.26,11255.81
2024 HON. JIM BANKS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,356.39,229
2024 HON. JIM BANKS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,840982.12,495700.4
2024 HON. JIM BANKS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,16452.36,8919.3
2024 HON. JIM BANKS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,30425.67,17175.98
2024 HON. JIM BANKS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1199.2,858.43
2024 HON. JIM BANKS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,27508.15,13751.91
2024 HON. JIM BANKS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,7435.58,3046.82
2024 HON. JIM BANKS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2035.94,411
2024 HON. JIM BANKS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,926395.41,540092.84
2024 HON. JIM BANKS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,926395.41,540092.84
2024 HON. JIM BANKS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,8249.98,5616.65
2024 HON. JIM BANKS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,8249.98,5616.65
2024 HON. JIM BANKS,INTERN ALLOWANCES,OFFICE TOTALS:,8249.98,5616.65
2024 HON. ANDY BARR,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,10806.27,882.3
2024 HON. ANDY BARR,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,652584.46,339180.8
2024 HON. ANDY BARR,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,40956.79,28522.57
2024 HON. ANDY BARR,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,14912.8,7672.09
2024 HON. ANDY BARR,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,27298.48,17916
2024 HON. ANDY BARR,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,4686.87,4641.36
2024 HON. ANDY BARR,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,11806.3,3984.56
2024 HON. ANDY BARR,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,11840.71,10838.71
2024 HON. ANDY BARR,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,774892.68,413638.39
2024 HON. ANDY BARR,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,774892.68,413638.39
2024 HON. ANDY BARR,INTERN ALLOWANCES,PERSONNEL COMPENSATION,29525.79,18571.79
2024 HON. ANDY BARR,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,29525.79,18571.79
2024 HON. ANDY BARR,INTERN ALLOWANCES,OFFICE TOTALS:,29525.79,18571.79
2024 HON. NANETTE DIAZ BARRAGAN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1384.94,103.43
2024 HON. NANETTE DIAZ BARRAGAN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,628648.92,315550.01
2024 HON. NANETTE DIAZ BARRAGAN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,41512.02,27263.55
2024 HON. NANETTE DIAZ BARRAGAN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,39364.13,20922.81
2024 HON. NANETTE DIAZ BARRAGAN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2991.76,2238.56
2024 HON. NANETTE DIAZ BARRAGAN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,17731.47,6064.93
2024 HON. NANETTE DIAZ BARRAGAN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,10631.39,7672.58
2024 HON. NANETTE DIAZ BARRAGAN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1392,696
2024 HON. NANETTE DIAZ BARRAGAN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,743656.63,380511.87
2024 HON. NANETTE DIAZ BARRAGAN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,743656.63,380511.87
2024 HON. NANETTE DIAZ BARRAGAN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,24662.22,11788.05
2024 HON. NANETTE DIAZ BARRAGAN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,24662.22,11788.05
2024 HON. NANETTE DIAZ BARRAGAN,INTERN ALLOWANCES,OFFICE TOTALS:,24662.22,11788.05
2024 HON. AARON BEAN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,19285.72,19195.47
2024 HON. AARON BEAN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,515575.04,263750.01
2024 HON. AARON BEAN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,28253.12,16733.41
2024 HON. AARON BEAN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,88280.87,54803.38
2024 HON. AARON BEAN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,118321.01,92570.28
2024 HON. AARON BEAN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,19430.84,18274.84
2024 HON. AARON BEAN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,10318.6,7012.59
2024 HON. AARON BEAN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1990.8,920.4
2024 HON. AARON BEAN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,801456,473260.38
2024 HON. AARON BEAN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,801456,473260.38
2024 HON. AARON BEAN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,15198.06,9015
2024 HON. AARON BEAN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,15198.06,9015
2024 HON. AARON BEAN,INTERN ALLOWANCES,OFFICE TOTALS:,15198.06,9015
2024 HON. JOYCE BEATTY,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,23926.29,23903.09
2024 HON. JOYCE BEATTY,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,566752.29,302673.61
2024 HON. JOYCE BEATTY,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,21544.58,14234.17
2024 HON. JOYCE BEATTY,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,15694.36,9922.22
2024 HON. JOYCE BEATTY,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,23768.91,17794.41
2024 HON. JOYCE BEATTY,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,32141.42,17482.36
2024 HON. JOYCE BEATTY,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,34449.03,31410.05
2024 HON. JOYCE BEATTY,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5263.4,2162.44
2024 HON. JOYCE BEATTY,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,723540.28,419582.35
2024 HON. JOYCE BEATTY,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,723540.28,419582.35
2024 HON. JOYCE BEATTY,INTERN ALLOWANCES,PERSONNEL COMPENSATION,2785.56,0
2024 HON. JOYCE BEATTY,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,2785.56,0
2024 HON. JOYCE BEATTY,INTERN ALLOWANCES,OFFICE TOTALS:,2785.56,0
2024 HON. CLIFF BENTZ,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,92512.67,48790.43
2024 HON. CLIFF BENTZ,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,536994.95,281208.34
2024 HON. CLIFF BENTZ,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,72347.38,56307.81
2024 HON. CLIFF BENTZ,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,14121.42,9245.3
2024 HON. CLIFF BENTZ,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,102896.57,41003
